Street,From,To,Distance_km,Travel_time_min,Congestion_level
Alameda Armenio Gomes,0,74,0.76,29.15,0.95
Alameda Durvalina Ferraz Coutinho de Castro,1,20,1.32,3.15,0.29
Alameda Ecologica Pau Brasil,2,151,1.08,18.05,0.42
Alameda Geraldo Ferraz de Oliveira,3,6,1.13,22.85,0.1
Alameda Gil Inacio de Andrade,1,39,1.85,11.97,0.77
Alameda Joaquim de Almeida,4,25,3.75,3.92,0.49
Alameda Joao Augusto Lima,5,153,1.58,22.45,0.62
Alameda Professor Joao Malafronte,6,105,4.16,4.71,0.66
Avenida 7 de Setembro,7,155,1.97,11.25,0.75
Avenida Antonio Haddad,8,43,3.91,28.76,0.48
Avenida Aurora de Aquino Santos,9,123,1.06,14.64,0.78
Avenida Angelo Molinari,10,47,3.75,21.36,0.76
Avenida Bernardino de Campos,11,92,2.85,14.04,0.99
Avenida Brasil,12,109,1.24,15.65,0.73
Avenida Braz Pereira de Olivas,13,125,0.51,22.64,0.86
Avenida Braz Vilela,14,102,3.65,5.69,0.9
Avenida Caetano Cartolano,15,58,4.12,12.8,0.48
Avenida Capitao Messias Ribeiro,16,54,4.92,15.73,0.58
Avenida Carlino Luiz dos Santos,17,78,3.03,15.31,0.2
Avenida Carrolton,10,134,4.09,8.22,0.88
Avenida Coronel Jose Vicente,14,145,3.02,10.12,0.19
Avenida Coronel Marciano,18,145,4.64,10.13,0.57
Avenida Deputado Aurelio Campos,19,21,2.72,23.44,0.25
Avenida Doutor Epitacio Santiago,20,52,3.73,19.95,0.79
Avenida Doutor Eugenio Borges,21,104,4.42,23.29,0.22
Avenida Doutor Leo de Affonceca Neto,22,75,4.61,13.42,0.93
Avenida Francisco de Paula Brasil,23,48,2.4,26.41,0.25
Avenida General Eduardo Areco,24,72,2.76,24.39,0.38
Avenida Godoy Neto,25,46,1.79,21.19,0.66
Avenida Governador Mario Covas,26,121,3.64,19.27,0.59
Avenida Jose Giordani,27,69,3.54,21.4,0.77
Avenida Jose Moreira Miguel,28,121,2.15,27.29,0.45
Avenida Lorena,29,54,3.61,15.32,0.76
Avenida Major Hermenegildo Antonio Aquino,30,99,4.15,21.81,0.63
Avenida Mantiqueira,11,127,2.78,17.11,0.37
Avenida Marechal Argolo,31,70,4.7,27.29,0.66
Avenida Marechal Teixeira Lott,32,130,3.12,19.28,0.95
Avenida Mexico,33,115,1.9,25.96,0.68
Avenida Nossa Senhora de Fatima,34,4,1.44,2.46,0.65
Avenida Orlando de Oliveira,35,67,3.2,6.02,0.21
Avenida Osiro Dias,36,55,4.19,9.66,0.15
Avenida Oswaldo Aranha,37,84,3.28,14.97,0.78
Avenida Padre Hugo Grecco,37,143,4.4,3.85,0.92
Avenida Papa Joao XXIII,38,157,2.32,7.62,0.78
Avenida Presidente Juscelino Kubitscheck de Oliveira,17,105,2.21,18.85,0.51
Avenida Professora Luiza Chagas,39,34,1.0,8.24,0.92
Avenida Sao Joao,40,84,1.38,22.17,0.39
Avenida Sao Jose,40,96,4.51,6.6,0.42
Avenida Sao Paulo,41,92,0.7,29.22,0.57
Avenida Sao Pedro,42,107,1.61,5.6,0.87
Avenida Sao Thomaz,43,109,1.78,4.05,0.82
Avenida Targino Vilella Nunes,44,155,2.92,14.11,0.82
Avenida Tenente Jose Alves Pinto,45,24,1.02,16.32,0.49
Avenida Tirandentes,11,40,1.96,13.68,0.53
Avenida Tomaz Alves de Figueiredo,46,87,3.75,17.8,0.69
Rua Aurora Ferraz,47,29,0.66,19.59,0.47
Rua Aziz Eluani,15,55,1.47,4.29,0.99
Rua Benedito de Aquino Passos,48,84,3.57,8.13,0.37
Rua Carlos Gomes,35,16,2.18,11.45,0.42
Rua Cassio Nunes de Azevedo,31,99,0.86,11.51,0.53
Rua Castro Alves,49,127,2.61,5.28,0.34
Rua Coronel Joao Carlos Guedes,50,148,1.62,9.48,0.49
Rua David Velleniche,10,68,0.52,25.61,0.82
Rua Dezenove,16,116,3.63,12.54,0.86
Rua Dinamarca,51,116,2.99,24.29,0.47
Rua dos Ipes,52,119,0.58,23.34,0.46
Rua Francisco Guatura,24,149,3.28,20.24,0.93
Rua Goncalves Dias,26,143,1.75,17.11,0.63
Rua Joao Goncalves da Costa,53,27,3.6,29.19,0.75
Rua Jose Carlos de Carvalho Viana,43,128,1.08,27.58,0.72
Rua Marilia,48,120,2.7,6.63,0.81
Rua Padre Joao Renaudin,54,43,0.54,1.72,0.75
Rua Pedro da Costa Colaco,18,5,0.51,18.01,0.74
Rua Prefeito Jose Roberto Ayrosa Rangel,55,115,1.26,25.54,0.29
Rua Sao Francisco,23,107,3.3,9.82,0.15
Rua Tereza Cristina,9,58,2.38,26.05,0.59
Rua Uruguai,56,71,0.54,5.46,0.82
Travessa Alvorada,41,44,1.56,5.13,0.68
Via Yakult,57,150,3.71,18.62,0.71
Rua da Aurora,58,91,2.03,16.23,0.34
Rua das Margaridas,2,130,1.46,16.82,0.36
Rua das Acacias,41,3,0.55,27.1,0.97
Rua das Acacias,59,53,3.69,24.0,0.88
Rua dos Passaros,60,2,1.72,5.39,0.42
Rua dos Cedros,1,143,2.22,29.71,0.78
Rua dos Cedros,61,33,3.88,18.04,0.3
Rua da Aurora,16,156,4.55,12.84,0.11
Rua das Acacias,59,99,4.55,23.16,0.4
Rua das Violetas,7,116,4.71,13.81,0.53
Rua da Colina,62,29,3.64,13.34,0.33
Rua da Colina,22,76,3.95,14.75,0.13
Rua das Nuvens,63,46,0.86,8.45,0.7
Rua da Montanha,64,67,2.43,26.89,0.98
Rua dos Jacarandas,65,118,3.59,8.02,0.76
Rua das Violetas,66,82,3.89,19.31,0.4
Rua das Palmeiras,67,87,4.29,14.58,0.69
Rua dos Jacarandas,58,71,4.63,7.77,0.86
Rua das Margaridas,68,7,2.54,3.12,0.84
Rua das Violetas,69,14,3.18,13.68,0.14
Rua da Lua,40,76,0.91,1.25,0.4
Rua dos Lirios,70,97,1.91,24.15,0.53
Rua do Sol,42,58,0.82,16.62,0.61
Rua dos Cedros,71,58,2.24,21.45,0.99
Rua dos Cedros,72,40,0.56,3.49,0.73
Rua dos Cedros,73,144,3.76,22.24,0.53
Rua da Montanha,74,142,4.93,4.82,0.92
Rua das Oliveiras,60,71,1.35,4.75,0.55
Rua das Aguas,19,78,2.93,13.69,0.65
Rua da Cascata,32,109,0.85,21.31,0.63
Rua dos Girassois,67,37,2.44,12.61,0.38
Rua das Flores,75,134,4.54,20.74,0.37
Rua das Flores,76,128,2.91,10.07,0.2
Rua dos Ipes,77,102,3.78,29.98,0.88
Rua da Lua,64,61,1.7,12.88,0.24
Rua das Palmeiras,78,82,3.45,6.76,0.7
Rua dos Passaros,52,75,2.7,22.45,0.62
Rua das Margaridas,79,52,2.17,5.97,0.44
Rua dos Passaros,80,128,3.45,2.26,0.62
Rua dos Jacarandas,32,66,3.54,25.23,0.6
Rua dos Girassois,81,129,3.97,9.17,0.14
Rua dos Ipes,29,130,2.16,16.61,0.44
Rua das Margaridas,82,74,3.98,25.26,0.77
Rua da Cascata,46,153,0.77,11.2,0.48
Rua dos Ipes,68,58,2.8,19.6,0.92
Rua dos Passaros,83,108,2.16,13.83,0.89
Rua do Sol,30,44,1.38,21.26,0.46
Rua das Margaridas,12,54,2.92,17.1,0.92
Rua dos Lirios,84,53,1.1,22.38,0.23
Rua das Palmeiras,85,138,0.91,19.29,0.11
Rua dos Ipes,86,41,1.93,12.64,0.52
Rua das Flores,87,38,2.71,22.22,0.88
Rua das Aguas,88,64,1.09,15.75,0.49
Rua dos Pinheiros,69,26,4.7,24.48,0.25
Rua da Cascata,89,26,1.15,22.98,0.37
Rua do Campo,90,17,3.47,3.07,0.8
Rua dos Cedros,78,42,2.58,8.9,0.82
Rua do Sol,91,5,3.32,10.68,0.27
Rua das Oliveiras,92,111,3.17,14.61,0.43
Rua das Rosas,93,89,4.4,26.66,0.66
Rua das Rosas,29,28,3.34,21.05,0.85
Rua dos Jacarandas,94,101,3.17,28.45,0.62
Rua da Cascata,95,77,2.2,15.71,0.17
Rua das Nuvens,96,115,1.87,14.32,0.68
Rua da Montanha,97,3,0.79,12.15,0.14
Rua dos Cravos,11,144,2.29,19.86,0.12
Rua do Sol,98,109,0.73,10.98,0.39
Rua da Cascata,99,58,1.25,19.45,0.15
Rua dos Passaros,75,135,3.73,25.47,0.41
Rua das Laranjeiras,100,82,4.71,16.13,0.64
Rua das Margaridas,45,44,1.04,25.35,0.2
Rua dos Ipes,101,67,4.64,23.84,0.21
Rua das Aguas,17,30,3.62,26.14,0.34
Rua do Campo,102,146,4.82,23.67,0.74
Rua da Lua,21,75,4.88,28.66,0.35
Rua do Campo,79,123,0.53,5.55,0.92
Rua dos Ipes,68,38,0.6,10.45,0.35
Rua das Margaridas,12,150,2.6,28.9,0.42
Rua dos Ipes,29,21,1.03,1.89,0.34
Rua das Rosas,84,143,4.56,9.64,0.65
Rua das Orquideas,103,69,0.62,28.16,0.79
Rua da Colina,61,43,1.46,21.87,0.77
Rua dos Ipes,90,81,4.72,2.39,0.33
Rua dos Cedros,104,60,0.82,17.01,0.73
Rua da Cascata,59,26,3.24,5.08,0.15
Rua dos Pinheiros,66,118,2.88,8.67,0.54
Rua dos Pinheiros,105,139,4.36,22.71,0.86
Rua da Montanha,7,23,4.91,10.89,0.42
Rua dos Lirios,8,117,2.71,21.62,0.49
Rua da Lua,16,145,2.14,11.71,0.84
Rua dos Ipes,89,90,3.41,6.26,0.17
Rua dos Girassois,102,90,1.93,15.89,0.36
Rua dos Ipes,106,126,3.56,7.6,0.38
Rua dos Cedros,107,141,3.06,27.06,0.77
Rua da Cascata,107,74,2.97,28.82,0.98
Rua das Orquideas,72,141,3.13,17.84,0.37
Rua das Nuvens,32,146,3.51,1.89,0.17
Rua da Montanha,108,149,4.05,9.72,0.13
Rua das Flores,109,47,0.91,23.7,0.3
Rua da Montanha,110,131,3.55,22.54,0.37
Rua da Montanha,81,89,2.64,7.4,0.23
Rua das Violetas,111,72,3.67,24.3,0.93
Rua dos Cravos,112,12,3.92,24.5,0.42
Rua das Flores,51,34,0.58,18.02,0.88
Rua das Margaridas,113,75,0.9,20.82,0.29
Rua da Montanha,114,95,0.81,21.71,0.49
Rua das Violetas,39,47,3.53,12.7,0.16
Rua da Colina,102,62,3.7,15.91,0.74
Rua das Orquideas,32,157,3.42,14.83,0.99
Rua das Margaridas,6,106,3.32,14.18,0.11
Rua dos Lirios,77,122,2.45,28.25,0.74
Rua das Acacias,115,36,1.25,3.85,0.58
Rua da Aurora,84,45,2.31,25.34,0.97
Rua dos Passaros,95,153,3.71,18.93,0.19
Rua dos Cedros,47,21,0.81,23.73,0.43
Rua dos Girassois,116,113,1.58,28.29,0.98
Rua da Colina,52,110,4.16,29.03,0.61
Rua dos Jacarandas,75,119,3.57,2.09,0.63
Rua das Orquideas,92,134,1.34,5.25,0.52
Rua das Flores,21,98,2.74,5.78,0.45
Rua dos Girassois,11,94,4.98,29.76,0.71
Rua das Rosas,12,138,3.46,9.06,0.7
Rua da Aurora,27,3,3.25,6.27,0.72
Rua do Campo,60,23,1.41,5.47,0.23
Rua dos Cedros,17,75,1.08,21.39,0.44
Rua dos Cravos,24,42,2.04,2.66,0.84
Rua das Acacias,117,151,3.07,3.38,0.58
Rua das Acacias,2,85,1.91,12.32,0.85
Rua dos Passaros,93,121,4.37,5.85,0.71
Rua das Orquideas,118,79,1.13,26.4,0.17
Rua dos Passaros,54,113,3.95,29.6,0.46
Rua das Violetas,106,50,3.85,6.32,0.95
Rua dos Pinheiros,64,26,4.11,26.53,0.65
Rua dos Cravos,119,5,2.89,28.42,0.91
Rua das Laranjeiras,98,66,1.46,17.81,0.86
Rua das Orquideas,18,21,0.89,28.66,0.15
Rua das Violetas,120,31,3.36,28.65,0.48
Rua dos Girassois,102,137,1.56,25.68,0.24
Rua da Montanha,121,42,2.67,27.42,0.41
Rua dos Ipes,122,81,2.44,27.98,0.34
Rua dos Passaros,123,6,2.71,1.2,0.5
Rua dos Passaros,88,129,3.64,2.75,0.26
Rua dos Lirios,36,3,3.46,4.88,0.69
Rua da Aurora,117,82,4.36,13.85,0.56
Rua das Oliveiras,123,42,3.78,28.74,0.35
Rua da Cascata,40,65,4.97,16.69,0.25
Rua das Nuvens,36,52,2.77,29.69,0.57
Rua das Flores,109,64,2.65,7.46,0.8
Rua dos Girassois,20,74,1.8,11.76,0.44
Rua dos Cravos,80,51,1.21,18.75,0.76
Rua das Oliveiras,58,14,0.91,16.04,0.23
Rua das Oliveiras,35,71,3.35,24.03,0.91
Rua das Nuvens,50,82,4.66,25.15,0.79
Rua da Cascata,124,1,1.98,12.42,0.94
Rua das Aguas,125,114,1.4,7.13,0.94
Rua das Orquideas,64,61,0.79,22.36,0.57
Rua das Oliveiras,8,9,4.46,18.22,0.98
Rua dos Lirios,126,3,3.32,26.71,0.42
Rua dos Passaros,114,79,4.59,1.71,0.36
Rua da Cascata,62,3,4.46,10.64,0.74
Rua das Laranjeiras,124,151,0.96,14.95,0.42
Rua dos Girassois,47,14,4.69,11.93,0.91
