street,from,to,distance_km,travel_time_min,congestion_level
Alameda Armenio Gomes,Intersection_51,Intersection_44,0.76,29.15,0.95
Alameda Durvalina Ferraz Coutinho de Castro,Intersection_111,Intersection_74,1.32,3.15,0.29
Alameda Ecologica Pau Brasil,Intersection_79,Intersection_41,1.08,18.05,0.42
Alameda Geraldo Ferraz de Oliveira,Intersection_30,Intersection_100,1.13,22.85,0.1
Alameda Gil Inacio de Andrade,Intersection_111,Intersection_20,1.85,11.97,0.77
Alameda Joaquim de Almeida,Intersection_92,Intersection_153,3.75,3.92,0.49
Alameda Joao Augusto Lima,Intersection_14,Intersection_54,1.58,22.45,0.62
Alameda Professor Joao Malafronte,Intersection_100,Intersection_27,4.16,4.71,0.66
Avenida 7 de Setembro,Intersection_56,Intersection_2,1.97,11.25,0.75
Avenida Antonio Haddad,Intersection_11,Intersection_90,3.91,28.76,0.48
Avenida Aurora de Aquino Santos,Intersection_132,Intersection_151,1.06,14.64,0.78
Avenida Angelo Molinari,Intersection_58,Intersection_15,3.75,21.36,0.76
Avenida Bernardino de Campos,Intersection_10,Intersection_83,2.85,14.04,0.99
Avenida Brasil,Intersection_88,Intersection_120,1.24,15.65,0.73
Avenida Braz Pereira de Olivas,Intersection_21,Intersection_148,0.51,22.64,0.86
Avenida Braz Vilela,Intersection_80,Intersection_47,3.65,5.69,0.9
Avenida Caetano Cartolano,Intersection_12,Intersection_35,4.12,12.8,0.48
Avenida Capitao Messias Ribeiro,Intersection_49,Intersection_1,4.92,15.73,0.58
Avenida Carlino Luiz dos Santos,Intersection_82,Intersection_139,3.03,15.31,0.2
Avenida Carrolton,Intersection_58,Intersection_67,4.09,8.22,0.88
Avenida Coronel Jose Vicente,Intersection_80,Intersection_55,3.02,10.12,0.19
Avenida Coronel Marciano,Intersection_84,Intersection_55,4.64,10.13,0.57
Avenida Deputado Aurelio Campos,Intersection_126,Intersection_98,2.72,23.44,0.25
